,Instrument,Company Common Name,Country of Exchange,Company Market Cap,GICS Sub-Industry Code,GICS Sub-Industry Name
62,CPB.OQ,Campbell's Co,United States of America,6828922964.7,30202030,Packaged Foods & Meats
363,2269.T,Meiji Holdings Co Ltd,Japan,6824751681.16479,30202030,Packaged Foods & Meats
416,MCH.HM,Masan Consumer Corp,Vietnam,6803339686.68264,30202030,Packaged Foods & Meats
14,GL9.I,Glanbia PLC,Ireland,6757885583.38005,30202030,Packaged Foods & Meats
391,MOS.N,Mosaic Co,United States of America,6712921121.28,15101030,Fertilizers & Agricultural Chemicals
75,CAG.N,Conagra Brands Inc,United States of America,6712473298.68,30202030,Packaged Foods & Meats
67,IOIB.KL,IOI Corporation Bhd,Malaysia,6691642893.61938,30202010,Agricultural Products & Services
537,1364.HK,Guming Holdings Ltd,Hong Kong,6562855249.55048,25301040,Restaurants
311,SALM.OL,SalMar ASA,Norway,6453430397.57434,30202030,Packaged Foods & Meats
322,AAK.ST,AAK AB (publ),Sweden,6443982808.23812,30202030,Packaged Foods & Meats
479,LW.N,Lamb Weston Holdings Inc,United States of America,6421766067.53,30202030,Packaged Foods & Meats
119,CORF.NS,Coromandel International Ltd,India,6404275374.16501,15101030,Fertilizers & Agricultural Chemicals
160,ICL.TA,ICL Group Ltd,Israel,6368676123.35526,15101030,Fertilizers & Agricultural Chemicals
276,2702.T,McDonald's Holdings Company Japan Ltd,Japan,6357208957.9863,25301040,Restaurants
243,INGR.N,Ingredion Inc,United States of America,6215731642.77,30202010,Agricultural Products & Services
297,CENCOSUD.SN,Cencosud SA,Chile,6164853798.39508,30101040,Consumer Staples Merchandise Retail
231,AXFO.ST,Axfood AB,Sweden,6057552329.10892,30101030,Food Retail
133,KLKK.KL,Kuala Lumpur Kepong Bhd,Malaysia,5955633061.27367,30202010,Agricultural Products & Services
237,PSMT.OQ,PriceSmart Inc,United States of America,5930463974.05,30101040,Consumer Staples Merchandise Retail
504,FERTIGLB.AD,Fertiglobe PLC,United Arab Emirates,5876559901.16532,15101030,Fertilizers & Agricultural Chemicals
258,FCTL.NS,Fertilisers And Chemicals Travancore Ltd,India,5860888830.44344,15101030,Fertilizers & Agricultural Chemicals
460,300972.SZ,Fujian Wanchen Food Group Co Ltd,China,5854591313.68682,30202030,Packaged Foods & Meats
278,EMMN.S,Emmi AG,Switzerland,5849692842.94235,30202030,Packaged Foods & Meats
144,003230.KS,Samyang Foods Inc,Korea; Republic (S. Korea),5702381392.43015,30202030,Packaged Foods & Meats
117,CPF.BK,Charoen Pokphand Foods PCL,Thailand,5576046612.5,30202030,Packaged Foods & Meats
257,000893.SZ,Asia Potash International Investment Guangzhou Co Ltd,China,5519768770.93355,15101030,Fertilizers & Agricultural Chemicals
187,GRUMAB.MX,Gruma SAB de CV,Mexico,5496438270.82427,30202030,Packaged Foods & Meats
54,2267.T,Yakult Honsha Co Ltd,Japan,5454012641.86563,30202030,Packaged Foods & Meats
49,2897.T,Nissin Foods Holdings Co Ltd,Japan,5359054571.53433,30202030,Packaged Foods & Meats
213,UPLL.NS,UPL Ltd,India,5323348063.43747,15101030,Fertilizers & Agricultural Chemicals
151,UTPS.KL,United Plantations Bhd,Malaysia,5271785541.89329,30202010,Agricultural Products & Services
139,NESM.KL,Nestle (Malaysia) Bhd,Malaysia,5252753872.63339,30202030,Packaged Foods & Meats
157,SIGMAFA.MX,Sigma Foods SAB de CV,Mexico,5176943335.0215,30202030,Packaged Foods & Meats
354,0151.HK,Want Want China Holdings Ltd,Hong Kong,5147061897.50947,30202030,Packaged Foods & Meats
207,LOUP.PA,Societe LDC SA,France,5108555526.98111,30202030,Packaged Foods & Meats
245,CCOLA.IS,Coca-Cola Icecek AS,Turkey,5101009639.16621,30201030,Soft Drinks & Non-alcoholic Beverages
